group,setting,method,num_runs,accuracy_mean,accuracy_std,loss_mean,loss_std,macro_accuracy_mean,macro_accuracy_std,worst_class_accuracy_mean,worst_class_accuracy_std,mean_client_local_accuracy_mean,mean_client_local_accuracy_std,std_client_local_accuracy_mean,std_client_local_accuracy_std
calibration_sweep,calib_32,epoch_weighted_avg,1,0.6055,0.0,1.4739314666748047,0.0,0.5994278992372795,0.0,0.017346938775510204,0.0,0.6173313387818639,0.0,0.14880385135803914,0.0
calibration_sweep,calib_32,regmean_epoch_weighted,1,0.6795,0.0,1.7748045654296876,0.0,0.6738962753775134,0.0,0.3890134529147982,0.0,0.6770477099026997,0.0,0.06933927840803353,0.0
calibration_sweep,calib_32,regmean_equal,1,0.6254,0.0,2.07556181640625,0.0,0.6194184167203302,0.0,0.3609865470852018,0.0,0.6202430132364354,0.0,0.06664089067154215,0.0
calibration_sweep,calib_32,simple_avg,1,0.794,0.0,0.6262754440307617,0.0,0.7897374881189378,0.0,0.3994053518334985,0.0,0.8025745492210462,0.0,0.07916312705686068,0.0
calibration_sweep,calib_32,single_best,1,0.912,0.0,0.29730252799987794,0.0,0.9105274329568482,0.0,0.8171206225680934,0.0,,,,
calibration_sweep,calib_512,centralized,1,0.9751,0.0,0.08252302122116088,0.0,0.9750614776539521,0.0,0.9602713178294574,0.0,0.9940917370387637,0.0,0.0020113112147236377,0.0
calibration_sweep,calib_512,epoch_weighted_avg,1,0.6055,0.0,1.4739314666748047,0.0,0.5994278992372795,0.0,0.017346938775510204,0.0,0.6173313387818639,0.0,0.14880385135803914,0.0
calibration_sweep,calib_512,regmean_epoch_weighted,1,0.8368,0.0,0.8076328399658204,0.0,0.8315951767352674,0.0,0.40919282511210764,0.0,0.8449816687451163,0.0,0.07364837502124642,0.0
calibration_sweep,calib_512,regmean_equal,1,0.866,0.0,0.5010703216552734,0.0,0.8625685970268642,0.0,0.5751121076233184,0.0,0.8750167604915755,0.0,0.04638159980154699,0.0
calibration_sweep,calib_512,simple_avg,1,0.794,0.0,0.6262754440307617,0.0,0.7897374881189378,0.0,0.3994053518334985,0.0,0.8025745492210462,0.0,0.07916312705686068,0.0
calibration_sweep,calib_512,single_best,1,0.912,0.0,0.29730252799987794,0.0,0.9105274329568482,0.0,0.8171206225680934,0.0,,,,
calibration_sweep,calib_64,centralized,1,0.9751,0.0,0.08252302122116088,0.0,0.9750614776539521,0.0,0.9602713178294574,0.0,0.9940917370387637,0.0,0.0020113112147236377,0.0
calibration_sweep,calib_64,epoch_weighted_avg,1,0.6055,0.0,1.4739314666748047,0.0,0.5994278992372795,0.0,0.017346938775510204,0.0,0.6173313387818639,0.0,0.14880385135803914,0.0
calibration_sweep,calib_64,regmean_epoch_weighted,1,0.737,0.0,1.3509000854492188,0.0,0.7323812847833154,0.0,0.45964125560538116,0.0,0.7417418095473775,0.0,0.06654362484918121,0.0
calibration_sweep,calib_64,regmean_equal,1,0.7193,0.0,1.284567999267578,0.0,0.7150085883676257,0.0,0.5067264573991032,0.0,0.724635696291335,0.0,0.057568538298834855,0.0
calibration_sweep,calib_64,simple_avg,1,0.794,0.0,0.6262754440307617,0.0,0.7897374881189378,0.0,0.3994053518334985,0.0,0.8025745492210462,0.0,0.07916312705686068,0.0
calibration_sweep,calib_64,single_best,1,0.912,0.0,0.29730252799987794,0.0,0.9105274329568482,0.0,0.8171206225680934,0.0,,,,
per_class_recovery,dirichlet_medium,centralized,1,0.9745,0.0,0.08492515716552734,0.0,0.9743068397593767,0.0,0.9591439688715954,0.0,0.984762346990981,0.0,0.0020786615400489286,0.0
per_class_recovery,dirichlet_medium,epoch_weighted_avg,1,0.8168,0.0,0.6237767196655274,0.0,0.8124167833092099,0.0,0.515695067264574,0.0,0.8216315556830892,0.0,0.07145216041943114,0.0
per_class_recovery,dirichlet_medium,regmean_epoch_weighted,1,0.8813,0.0,0.4003494468688965,0.0,0.8787362176744689,0.0,0.7006726457399103,0.0,0.8795692767234533,0.0,0.030453791836462758,0.0
per_class_recovery,dirichlet_medium,regmean_equal,1,0.8813,0.0,0.4003494468688965,0.0,0.8787362176744689,0.0,0.7006726457399103,0.0,0.8795692767234533,0.0,0.030453791836462758,0.0
per_class_recovery,dirichlet_medium,simple_avg,1,0.8168,0.0,0.6237767196655274,0.0,0.8124167833092099,0.0,0.515695067264574,0.0,0.8216315556830892,0.0,0.07145216041943114,0.0
per_class_recovery,dirichlet_medium,single_best,1,0.912,0.0,0.29730252799987794,0.0,0.9105274329568482,0.0,0.8171206225680934,0.0,,,,
per_client_recovery,dirichlet_budget_hetero,centralized,1,0.9751,0.0,0.08252302122116088,0.0,0.9750614776539521,0.0,0.9602713178294574,0.0,0.9940917370387637,0.0,0.0020113112147236377,0.0
per_client_recovery,dirichlet_budget_hetero,epoch_weighted_avg,1,0.6055,0.0,1.4739314666748047,0.0,0.5994278992372795,0.0,0.017346938775510204,0.0,0.6173313387818639,0.0,0.14880385135803914,0.0
per_client_recovery,dirichlet_budget_hetero,regmean_epoch_weighted,1,0.823,0.0,0.8659469512939453,0.0,0.8172858486908338,0.0,0.36995515695067266,0.0,0.8291618962474046,0.0,0.07715128215215944,0.0
per_client_recovery,dirichlet_budget_hetero,regmean_equal,1,0.8438,0.0,0.584973208618164,0.0,0.8400363008226185,0.0,0.5381165919282511,0.0,0.8563436270128397,0.0,0.051215703016001854,0.0
per_client_recovery,dirichlet_budget_hetero,simple_avg,1,0.794,0.0,0.6262754440307617,0.0,0.7897374881189378,0.0,0.3994053518334985,0.0,0.8025745492210462,0.0,0.07916312705686068,0.0
per_client_recovery,dirichlet_budget_hetero,single_best,1,0.912,0.0,0.29730252799987794,0.0,0.9105274329568482,0.0,0.8171206225680934,0.0,,,,
