group,setting,seed,method,accuracy,loss,macro_accuracy,worst_class_accuracy,mean_client_local_accuracy,std_client_local_accuracy
alpha_sweep,alpha_0.1,7,simple_avg,0.562,1.6355102966308595,0.5550240617903763,0.0,0.6439779436271678,0.22694180642464404
alpha_sweep,alpha_0.1,7,epoch_weighted_avg,0.562,1.6355102966308595,0.5550240617903763,0.0,0.6439779436271678,0.22694180642464404
alpha_sweep,alpha_0.1,7,regmean_equal,0.7716,0.922521630859375,0.765757198814034,0.34496919917864477,0.8191390966660124,0.0841607694069857
alpha_sweep,alpha_0.1,7,regmean_epoch_weighted,0.7716,0.922521630859375,0.765757198814034,0.34496919917864477,0.8191390966660124,0.0841607694069857
alpha_sweep,alpha_0.1,7,centralized,0.9745,0.08492515716552734,0.9743068397593767,0.9591439688715954,0.9869430995973245,0.0050023648231776385
alpha_sweep,alpha_0.1,7,single_best,0.5304,3.0962102783203127,0.5226352327874686,0.0,,
calibration_sweep,calib_16,7,simple_avg,0.794,0.6262754440307617,0.7897374881189378,0.3994053518334985,0.8025745492210462,0.07916312705686068
calibration_sweep,calib_16,7,epoch_weighted_avg,0.6055,1.4739314666748047,0.5994278992372795,0.017346938775510204,0.6173313387818639,0.14880385135803914
calibration_sweep,calib_16,7,regmean_equal,0.5949,2.516657000732422,0.5881571766611249,0.28699551569506726,0.5970050866813866,0.07981083887764828
calibration_sweep,calib_16,7,regmean_epoch_weighted,0.6327,2.1809735595703126,0.6260151156023104,0.30829596412556054,0.6389890180644052,0.0785948963324701
calibration_sweep,calib_16,7,centralized,0.9751,0.08252302122116088,0.9750614776539521,0.9602713178294574,0.9940917370387637,0.0020113112147236377
calibration_sweep,calib_16,7,single_best,0.912,0.29730252799987794,0.9105274329568482,0.8171206225680934,,
calibration_sweep,calib_32,7,simple_avg,0.794,0.6262754440307617,0.7897374881189378,0.3994053518334985,0.8025745492210462,0.07916312705686068
calibration_sweep,calib_32,7,epoch_weighted_avg,0.6055,1.4739314666748047,0.5994278992372795,0.017346938775510204,0.6173313387818639,0.14880385135803914
calibration_sweep,calib_32,7,regmean_equal,0.6254,2.07556181640625,0.6194184167203302,0.3609865470852018,0.6202430132364354,0.06664089067154215
calibration_sweep,calib_32,7,regmean_epoch_weighted,0.6795,1.7748045654296876,0.6738962753775134,0.3890134529147982,0.6770477099026997,0.06933927840803353
calibration_sweep,calib_32,7,centralized,0.9751,0.08252302122116088,0.9750614776539521,0.9602713178294574,0.9940917370387637,0.0020113112147236377
calibration_sweep,calib_32,7,single_best,0.912,0.29730252799987794,0.9105274329568482,0.8171206225680934,,
calibration_sweep,calib_64,7,simple_avg,0.794,0.6262754440307617,0.7897374881189378,0.3994053518334985,0.8025745492210462,0.07916312705686068
calibration_sweep,calib_64,7,epoch_weighted_avg,0.6055,1.4739314666748047,0.5994278992372795,0.017346938775510204,0.6173313387818639,0.14880385135803914
calibration_sweep,calib_64,7,regmean_equal,0.7193,1.284567999267578,0.7150085883676257,0.5067264573991032,0.724635696291335,0.057568538298834855
calibration_sweep,calib_64,7,regmean_epoch_weighted,0.737,1.3509000854492188,0.7323812847833154,0.45964125560538116,0.7417418095473775,0.06654362484918121
calibration_sweep,calib_64,7,centralized,0.9751,0.08252302122116088,0.9750614776539521,0.9602713178294574,0.9940917370387637,0.0020113112147236377
calibration_sweep,calib_64,7,single_best,0.912,0.29730252799987794,0.9105274329568482,0.8171206225680934,,
calibration_sweep,calib_128,7,simple_avg,0.794,0.6262754440307617,0.7897374881189378,0.3994053518334985,0.8025745492210462,0.07916312705686068
calibration_sweep,calib_128,7,epoch_weighted_avg,0.6055,1.4739314666748047,0.5994278992372795,0.017346938775510204,0.6173313387818639,0.14880385135803914
calibration_sweep,calib_128,7,regmean_equal,0.8123,0.7661509307861328,0.8081329647064053,0.5280269058295964,0.8162068577495306,0.05646216398463135
calibration_sweep,calib_128,7,regmean_epoch_weighted,0.7856,1.0710561584472655,0.7798004051511023,0.3778026905829596,0.7963534062862674,0.07756199294763962
calibration_sweep,calib_128,7,centralized,0.9751,0.08252302122116088,0.9750614776539521,0.9602713178294574,0.9940917370387637,0.0020113112147236377
calibration_sweep,calib_128,7,single_best,0.912,0.29730252799987794,0.9105274329568482,0.8171206225680934,,
calibration_sweep,calib_256,7,simple_avg,0.794,0.6262754440307617,0.7897374881189378,0.3994053518334985,0.8025745492210462,0.07916312705686068
calibration_sweep,calib_256,7,epoch_weighted_avg,0.6055,1.4739314666748047,0.5994278992372795,0.017346938775510204,0.6173313387818639,0.14880385135803914
calibration_sweep,calib_256,7,regmean_equal,0.8438,0.584973208618164,0.8400363008226185,0.5381165919282511,0.8563436270128397,0.051215703016001854
calibration_sweep,calib_256,7,regmean_epoch_weighted,0.823,0.8659469512939453,0.8172858486908338,0.36995515695067266,0.8291618962474046,0.07715128215215944
calibration_sweep,calib_256,7,centralized,0.9751,0.08252302122116088,0.9750614776539521,0.9602713178294574,0.9940917370387637,0.0020113112147236377
calibration_sweep,calib_256,7,single_best,0.912,0.29730252799987794,0.9105274329568482,0.8171206225680934,,
calibration_sweep,calib_512,7,simple_avg,0.794,0.6262754440307617,0.7897374881189378,0.3994053518334985,0.8025745492210462,0.07916312705686068
calibration_sweep,calib_512,7,epoch_weighted_avg,0.6055,1.4739314666748047,0.5994278992372795,0.017346938775510204,0.6173313387818639,0.14880385135803914
calibration_sweep,calib_512,7,regmean_equal,0.866,0.5010703216552734,0.8625685970268642,0.5751121076233184,0.8750167604915755,0.04638159980154699
calibration_sweep,calib_512,7,regmean_epoch_weighted,0.8368,0.8076328399658204,0.8315951767352674,0.40919282511210764,0.8449816687451163,0.07364837502124642
calibration_sweep,calib_512,7,centralized,0.9751,0.08252302122116088,0.9750614776539521,0.9602713178294574,0.9940917370387637,0.0020113112147236377
calibration_sweep,calib_512,7,single_best,0.912,0.29730252799987794,0.9105274329568482,0.8171206225680934,,
per_class_recovery,dirichlet_medium,7,simple_avg,0.8168,0.6237767196655274,0.8124167833092099,0.515695067264574,0.8216315556830892,0.07145216041943114
per_class_recovery,dirichlet_medium,7,epoch_weighted_avg,0.8168,0.6237767196655274,0.8124167833092099,0.515695067264574,0.8216315556830892,0.07145216041943114
per_class_recovery,dirichlet_medium,7,regmean_equal,0.8813,0.4003494468688965,0.8787362176744689,0.7006726457399103,0.8795692767234533,0.030453791836462758
per_class_recovery,dirichlet_medium,7,regmean_epoch_weighted,0.8813,0.4003494468688965,0.8787362176744689,0.7006726457399103,0.8795692767234533,0.030453791836462758
per_class_recovery,dirichlet_medium,7,centralized,0.9745,0.08492515716552734,0.9743068397593767,0.9591439688715954,0.984762346990981,0.0020786615400489286
per_class_recovery,dirichlet_medium,7,single_best,0.912,0.29730252799987794,0.9105274329568482,0.8171206225680934,,
per_client_recovery,dirichlet_budget_hetero,7,simple_avg,0.794,0.6262754440307617,0.7897374881189378,0.3994053518334985,0.8025745492210462,0.07916312705686068
per_client_recovery,dirichlet_budget_hetero,7,epoch_weighted_avg,0.6055,1.4739314666748047,0.5994278992372795,0.017346938775510204,0.6173313387818639,0.14880385135803914
per_client_recovery,dirichlet_budget_hetero,7,regmean_equal,0.8438,0.584973208618164,0.8400363008226185,0.5381165919282511,0.8563436270128397,0.051215703016001854
per_client_recovery,dirichlet_budget_hetero,7,regmean_epoch_weighted,0.823,0.8659469512939453,0.8172858486908338,0.36995515695067266,0.8291618962474046,0.07715128215215944
per_client_recovery,dirichlet_budget_hetero,7,centralized,0.9751,0.08252302122116088,0.9750614776539521,0.9602713178294574,0.9940917370387637,0.0020113112147236377
per_client_recovery,dirichlet_budget_hetero,7,single_best,0.912,0.29730252799987794,0.9105274329568482,0.8171206225680934,,
